location_id,country_code,country,admin1,admin2,admin2_gadm_name,gadm_gid_2,latitude,longitude,area_km2,boundary_source,has_market_coverage
SO_AADAN,SO,Somalia,Shabeellaha Dhexe,Aadan,Aadan,SOM.14.1_1,3.530536,46.547818,4057.2,GADM 4.1,False
SO_AFGOOYE,SO,Somalia,Shabeellaha Hoose,Afgooye,Afgooye,SOM.15.1_1,2.222548,45.066842,4043.1,GADM 4.1,False
SO_AFMADOW,SO,Somalia,Jubbada Hoose,Afmadow,Afmadow,SOM.10.1_1,0.580064,41.785679,27178.1,GADM 4.1,True
SO_BAAR_DHEERE,SO,Somalia,Gedo,Baar-Dheere,Baar-Dheere,SOM.7.1_1,2.084631,41.701743,14788.26,GADM 4.1,False
SO_BADHAADHE,SO,Somalia,Jubbada Hoose,Badhaadhe,Badhaadhe,SOM.10.2_1,-0.846108,41.443534,9762.49,GADM 4.1,False
SO_BADHAN,SO,Somalia,Sanaag,Badhan,Badhan,SOM.13.1_1,10.533744,48.678057,12857.38,GADM 4.1,False
SO_BAKI,SO,Somalia,Awdal,Baki,Baki,SOM.1.1_1,10.267045,43.732472,3578.03,GADM 4.1,False
SO_BALCAD,SO,Somalia,Shabeellaha Dhexe,Balcad,Balcad,SOM.14.2_1,2.475293,45.652873,4000.54,GADM 4.1,False
SO_BANADIR,SO,Somalia,Banaadir,Banadir,Mogadisho,SOM.3.1_1,2.109122,45.424251,210.88,GADM 4.1,True
SO_BANDER_BEYLA,SO,Somalia,Bari,Bander-Beyla,Bander-Beyla,SOM.4.1_1,9.212313,50.32412,11032.52,GADM 4.1,False
SO_BARAAWE,SO,Somalia,Shabeellaha Hoose,Baraawe,Baraawe,SOM.15.2_1,1.083867,43.829507,2828.34,GADM 4.1,False
SO_BAYDHABA,SO,Somalia,Bay,Baydhaba,Baydhabo,SOM.5.1_1,3.253335,43.64141,13226.32,GADM 4.1,True
SO_BELET_WEYNE,SO,Somalia,Hiiraan,Belet Weyne,Beled Weyn,SOM.8.1_1,4.72179,45.382432,14808.93,GADM 4.1,True
SO_BELET_XAAWO,SO,Somalia,Gedo,Belet Xaawo,Beled Xaawo,SOM.7.2_1,3.422698,41.735654,4106.47,GADM 4.1,True
SO_BERBERA,SO,Somalia,Woqooyi Galbeed,Berbera,Berbera,SOM.18.1_1,10.350285,45.262138,10592.0,GADM 4.1,True
SO_BORAMA,SO,Somalia,Awdal,Borama,Boorama,SOM.1.2_1,10.164717,43.170092,2949.66,GADM 4.1,True
SO_BOSSASO,SO,Somalia,Bari,Bossaso,Bosaaso,SOM.4.2_1,10.904251,49.393242,7955.34,GADM 4.1,True
SO_BUAALE,SO,Somalia,Jubbada Dhexe,Bu'aale,Bu'aale,SOM.9.1_1,1.175508,42.753269,5525.72,GADM 4.1,False
SO_BULO_BURTO,SO,Somalia,Hiiraan,Bulo Burto,Buulo Burdo,SOM.8.2_1,3.900885,45.537161,16034.83,GADM 4.1,True
SO_BURCO,SO,Somalia,Togdheer,Burco,Burao,SOM.17.1_1,9.122557,45.736189,15661.93,GADM 4.1,True
