location_id,time_id,rainfall_mean_mm,vegetation_health_index_mean
SO_AADAN,202401,2.44,45.98
SO_AADAN,202402,1.38,45.47
SO_AADAN,202403,12.5,52.04
SO_AADAN,202404,99.05,58.68
SO_AADAN,202405,57.94,53.36
SO_AADAN,202406,5.98,52.0
SO_AADAN,202407,23.59,46.21
SO_AADAN,202408,20.39,46.32
SO_AADAN,202409,1.47,44.06
SO_AADAN,202410,24.07,34.58
SO_AADAN,202411,46.62,32.28
SO_AADAN,202412,5.12,26.49
SO_AFGOOYE,202401,1.26,44.16
SO_AFGOOYE,202402,0.64,43.47
SO_AFGOOYE,202403,4.28,43.49
SO_AFGOOYE,202404,124.9,54.35
SO_AFGOOYE,202405,39.59,51.57
SO_AFGOOYE,202406,66.69,43.83
SO_AFGOOYE,202407,17.68,40.87
SO_AFGOOYE,202408,17.65,35.44
SO_AFGOOYE,202409,6.37,34.29
SO_AFGOOYE,202410,14.8,25.81
SO_AFGOOYE,202411,109.04,23.46
SO_AFGOOYE,202412,4.62,22.16
SO_AFMADOW,202401,2.44,48.36
SO_AFMADOW,202402,5.67,39.92
SO_AFMADOW,202403,17.85,42.06
SO_AFMADOW,202404,219.31,59.47
SO_AFMADOW,202405,48.39,48.71
SO_AFMADOW,202406,29.92,37.72
SO_AFMADOW,202407,35.07,39.66
SO_AFMADOW,202408,25.17,43.06
SO_AFMADOW,202409,15.42,38.57
SO_AFMADOW,202410,14.78,23.48
SO_AFMADOW,202411,190.83,28.23
SO_AFMADOW,202412,6.49,29.64
SO_BAAR_DHEERE,202401,1.51,51.02
SO_BAAR_DHEERE,202402,2.85,44.25
SO_BAAR_DHEERE,202403,16.24,46.4
SO_BAAR_DHEERE,202404,249.4,66.67
SO_BAAR_DHEERE,202405,23.35,49.64
SO_BAAR_DHEERE,202406,7.98,37.62
SO_BAAR_DHEERE,202407,16.67,51.34
SO_BAAR_DHEERE,202408,18.11,61.45
SO_BAAR_DHEERE,202409,6.8,49.45
SO_BAAR_DHEERE,202410,16.8,28.62
SO_BAAR_DHEERE,202411,176.3,31.92
SO_BAAR_DHEERE,202412,4.5,28.21
SO_BADHAADHE,202401,5.99,60.9
SO_BADHAADHE,202402,3.42,54.91
SO_BADHAADHE,202403,18.43,54.09
SO_BADHAADHE,202404,171.51,59.97
SO_BADHAADHE,202405,114.57,46.53
SO_BADHAADHE,202406,33.45,43.29
SO_BADHAADHE,202407,37.35,45.48
SO_BADHAADHE,202408,34.57,44.3
SO_BADHAADHE,202409,21.1,38.28
SO_BADHAADHE,202410,16.44,30.3
SO_BADHAADHE,202411,152.5,36.84
SO_BADHAADHE,202412,21.74,43.17
SO_BADHAN,202401,0.34,49.72
SO_BADHAN,202402,1.02,43.07
SO_BADHAN,202403,5.61,39.37
SO_BADHAN,202404,20.62,42.74
SO_BADHAN,202405,34.01,45.81
SO_BADHAN,202406,6.3,43.62
SO_BADHAN,202407,1.35,46.52
SO_BADHAN,202408,9.14,46.58
SO_BADHAN,202409,11.67,41.49
SO_BADHAN,202410,16.64,34.3
SO_BADHAN,202411,2.87,34.87
SO_BADHAN,202412,3.08,39.41
SO_BAKI,202401,4.41,43.47
SO_BAKI,202402,2.19,39.15
SO_BAKI,202403,14.53,47.52
SO_BAKI,202404,58.02,53.22
SO_BAKI,202405,9.56,42.26
SO_BAKI,202406,3.91,37.78
SO_BAKI,202407,33.62,51.42
SO_BAKI,202408,57.05,60.65
SO_BAKI,202409,21.24,55.93
SO_BAKI,202410,65.13,52.6
SO_BAKI,202411,8.21,45.15
SO_BAKI,202412,3.65,42.08
SO_BALCAD,202401,1.47,44.18
SO_BALCAD,202402,0.87,45.84
SO_BALCAD,202403,5.39,45.42
SO_BALCAD,202404,105.31,50.4
SO_BALCAD,202405,41.74,46.83
SO_BALCAD,202406,52.02,48.21
SO_BALCAD,202407,19.29,46.2
SO_BALCAD,202408,23.06,37.51
SO_BALCAD,202409,4.5,33.74
SO_BALCAD,202410,15.13,28.12
SO_BALCAD,202411,80.18,26.12
SO_BALCAD,202412,5.22,25.38
SO_BANADIR,202401,0.64,26.41
SO_BANADIR,202402,0.91,32.86
SO_BANADIR,202403,1.99,41.24
SO_BANADIR,202404,81.95,44.02
SO_BANADIR,202405,24.03,30.98
SO_BANADIR,202406,75.54,22.29
SO_BANADIR,202407,26.98,22.33
SO_BANADIR,202408,35.7,21.69
SO_BANADIR,202409,8.74,22.99
SO_BANADIR,202410,9.74,23.27
SO_BANADIR,202411,66.88,19.07
SO_BANADIR,202412,4.71,20.33
SO_BANDER_BEYLA,202401,1.13,48.63
SO_BANDER_BEYLA,202402,0.35,44.34
SO_BANDER_BEYLA,202403,1.68,44.87
SO_BANDER_BEYLA,202404,10.47,50.17
SO_BANDER_BEYLA,202405,48.28,58.27
SO_BANDER_BEYLA,202406,1.02,58.05
SO_BANDER_BEYLA,202407,0.16,60.75
SO_BANDER_BEYLA,202408,2.97,65.84
SO_BANDER_BEYLA,202409,3.84,59.18
SO_BANDER_BEYLA,202410,11.21,42.69
SO_BANDER_BEYLA,202411,13.13,32.41
SO_BANDER_BEYLA,202412,7.24,29.15
SO_BARAAWE,202401,0.45,41.92
SO_BARAAWE,202402,0.41,42.83
SO_BARAAWE,202403,2.47,45.39
SO_BARAAWE,202404,138.74,46.04
SO_BARAAWE,202405,37.95,42.93
SO_BARAAWE,202406,112.72,41.94
SO_BARAAWE,202407,40.13,46.11
SO_BARAAWE,202408,30.38,42.98
SO_BARAAWE,202409,10.77,33.42
SO_BARAAWE,202410,11.1,27.06
SO_BARAAWE,202411,68.06,28.22
SO_BARAAWE,202412,1.77,34.95
SO_BAYDHABA,202401,1.33,54.13
SO_BAYDHABA,202402,1.22,54.11
SO_BAYDHABA,202403,6.11,54.26
SO_BAYDHABA,202404,245.66,66.4
SO_BAYDHABA,202405,61.75,57.24
SO_BAYDHABA,202406,9.71,41.78
SO_BAYDHABA,202407,24.08,45.69
SO_BAYDHABA,202408,24.39,51.02
SO_BAYDHABA,202409,5.53,52.3
SO_BAYDHABA,202410,35.15,36.08
SO_BAYDHABA,202411,113.54,38.8
SO_BAYDHABA,202412,2.2,36.23
SO_BELET_WEYNE,202401,0.97,66.8
SO_BELET_WEYNE,202402,0.73,64.66
SO_BELET_WEYNE,202403,3.72,55.7
SO_BELET_WEYNE,202404,115.95,66.01
SO_BELET_WEYNE,202405,93.9,73.32
SO_BELET_WEYNE,202406,2.06,64.96
SO_BELET_WEYNE,202407,6.71,58.36
SO_BELET_WEYNE,202408,8.35,59.25
SO_BELET_WEYNE,202409,2.57,56.36
SO_BELET_WEYNE,202410,21.46,45.05
SO_BELET_WEYNE,202411,49.83,40.88
SO_BELET_WEYNE,202412,1.11,34.51
SO_BELET_XAAWO,202401,1.24,48.31
SO_BELET_XAAWO,202402,1.97,46.86
SO_BELET_XAAWO,202403,7.55,46.49
SO_BELET_XAAWO,202404,218.48,62.59
SO_BELET_XAAWO,202405,28.28,56.98
SO_BELET_XAAWO,202406,2.92,49.78
SO_BELET_XAAWO,202407,5.86,63.02
SO_BELET_XAAWO,202408,13.11,65.9
SO_BELET_XAAWO,202409,1.64,56.01
