event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
ETH11390,2024-01-01,2024,2,"Political violence","Explosions/Remote violence","Remote explosive/landmine/IED","Fano Youth Militia",,"Political militia","Civilians (Ethiopia)","Government of Ethiopia (2018-)",Civilians,"Political militia-Civilians","Civilian targeting",231,"Eastern Africa",Ethiopia,Amhara,Awi,Zigem,Zigem,10.7112,36.4898,1,EMS,Other,"Around 1 January 2024 (as reported), an armed actor (suspected as Fano) conducted a bomb attack (type unknown/not reported) against leaders of the Zigem Wereda Administration in Zigem (Awi, Amhara). Casualties unknown.",0,"local administrators",1704766938
ETH11391,2024-01-01,2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Ethiopia)",,Protesters,,,,"Protesters only",,231,"Eastern Africa",Ethiopia,Harari,Harari,Abadir,Harar,9.3122,42.1238,1,"Deutsche Welle",International,"On 1 January 2024, residents of Harar staged a demonstration in Harar (Abadir, Harari), supporting the Memorandum of Understanding signed between Somaliland and Ethiopia.",0,"crowd size=no report",1704766938
SOM43228,2024-01-01,2024,1,"Political violence","Violence against civilians",Attack,"Al Shabaab",,"Rebel group","Civilians (Somalia)","Labor Group (Somalia)",Civilians,"Rebel group-Civilians","Civilian targeting",706,"Eastern Africa",Somalia,Bay,Diinsoor,,"Buulo Cadey",2.4978,42.8275,2,"Undisclosed Source","Local partner-Other","On 1 January 2024, Al Shabaab ambushed a motorbike transporting Mira/Khat near Buulo Cadey village (Diinsoor, Bay). A motorcyclist was killed in the attack.",1,,1754411191
SOM43229,2024-01-01,2024,1,"Political violence",Battles,"Armed clash","Al Shabaab",,"Rebel group","Military Forces of Somalia (2022-)",,"State forces","State forces-Rebel group",,706,"Eastern Africa",Somalia,Hiraan,"Belet Weyne",,"Belet Weyne",4.7360,45.2043,1,"Al Furqaan; Calamada; Undisclosed Source","Local partner-Other","On 1 January 2024, Al Shabaab threw a hand grenade against government security forces (SNA) at a checkpoint located in Koshin neighborhood in Belet Weyne town (Belet Weyne, Hiraan). The soldiers reacted with gunfire after the blast. There were no casualties. Al Shabaab claimed responsibility.",0,,1753971979
SSD9741,2024-01-01,2024,1,"Political violence","Violence against civilians",Attack,"Unidentified Communal Militia (South Sudan)","Pastoralists (South Sudan)","Identity militia","Civilians (South Sudan)","Pastoralists (South Sudan)",Civilians,"Identity militia-Civilians","Civilian targeting",728,"Eastern Africa","South Sudan",Unity,Panyijiar,Panyijiar,Panyijiar,7.4629,30.2743,2,"The City Review (South Sudan)",National,"On 1 January 2024, armed youths from Lake state attacked cattle keepers and raided over 400 cattle from Panyijiar (Unity state) in a raid incident. Seven cattle keepers were wounded. The raided cattle were recovered.",0,,1754411230
SOM43231,2024-01-01,2024,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Al Shabaab",,"Rebel group",,,,"Rebel group only",,706,"Eastern Africa",Somalia,"Lower Juba",Kismaayo,,"Buulo Gaduud",-0.0740,42.5719,1,"Undisclosed Source","Local partner-Other","On 1 January 2024, Al Shabaab fired four rounds of mortars targeting the construction workers of a culvert in Buulo Gaduud village (Kismaayo, Lower Juba). Some of the mortars hit an open space in the area. There were no casualties.",0,,1753971979
ETH11392,2024-01-01,2024,1,"Political violence",Battles,"Armed clash","Fano Youth Militia",,"Political militia","Military Forces of Ethiopia (2018-)","Kebele Communal Militia (Ethiopia); Police Forces of Ethiopia (2018-) Oromia State Police","State forces","State forces-Political militia",,231,"Eastern Africa",Ethiopia,Oromia,"North Shewa",Dera,Selelkula,10.1371,38.4933,2,"Oromiya Media Network",International,"On 1 January 2024, Fano clashed with ENDF, Oromia regional state police forces, and Kebele militia in Tututi, Rema, Laga Walakat, Kolu, and Selelkula kebeles (location coded to Selelkula, in Dera woreda, North Shewa, Oromia), resulting in two farmers being killed and three others wounded.",2,,1722903293
SOM43226,2024-01-01,2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Unidentified Military Forces",,"External/Other forces","Al Shabaab",,"Rebel group","Rebel group-External/Other forces",,706,"Eastern Africa",Somalia,Bakool,Xudur,,Hudur,4.1237,43.8915,2,"Radio Kulmiye",National,"On 1 January 2024, unidentified forces (coded as unidentified military forces) conducted an airstrike targeting Al Shabaab position in Buula Fuulaay village near Hudur town (Xudur, Bakool). At least 20 militants were killed.",20,,1753970711
SOM43232,2024-01-01,2024,1,"Political violence",Battles,"Armed clash","Al Shabaab",,"Rebel group","Military Forces of Somalia (2022-)",,"State forces","State forces-Rebel group",,706,"Eastern Africa",Somalia,"Lower Shabelle",Marka,,Janaale,1.8000,44.7000,1,"Calamada; Undisclosed Source","Local partner-Other","On 1 January 2024, overnight, Al Shabaab carried out a hit-and-run attack against government security forces (SNA) at a base in Janaale village (Marka, Lower Shabelle). Both sides exchanged gunfire. There were no casualties. Al Shabaab claimed responsibility.",0,,1753971979
SOM43233,2024-01-01,2024,1,"Political violence",Battles,"Armed clash","Military Forces of Somalia (2022-) Special Forces","Hawiye-Habar Gedir Sub-Clan Militia (Somalia); Military Forces of Somalia (2022-); Military Forces of Somalia (2022-) Galmudug Security Force; Unidentified Military Forces","State forces","Al Shabaab",,"Rebel group","State forces-Rebel group",,706,"Eastern Africa",Somalia,Mudug,Xarardheere,,Caad,5.0116,47.9918,2,"Caasimada; Hiiraan (Somalia); Shabelle Media Network",National,"On 1 January 2024, government security forces (Danab/Bancroft/SNA), Galmudug security forces, and Habar Gedir clan militia conducted a joint operation against Al Shabaab in Jeex-jeex area in between Camaare and Caad village (Xarardheere, Mudug). The operation was supported by airstrikes from unidentified forces (described as international forces, coded as unidentified military forces) . Government claimed killing 46 Al Shabaab fighters.",46,,1757377219
