Country,Admin 1,Admin 2,Market Name,Commodity,Price Type,Price Date,Collection Frequency,Price,Unit,Currency,Data Source,Trend,Pewi,ALPS Phase,Data Type,Upper (95%) CI,Lower (95%) CI,Forecast Methodology
Ethiopia,Afar,ZONE2,Abaala,Garlic,Retail,15/05/2024,Monthly,250.000000,KG,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Lentils,Retail,15/05/2024,Monthly,20000.000000,100 KG,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Lentils,Retail,15/06/2024,Monthly,12000.000000,100 KG,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Lentils,Retail,15/07/2024,Monthly,15000.000000,100 KG,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Lentils,Retail,15/08/2024,Monthly,16000.000000,100 KG,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Lentils,Retail,15/09/2024,Monthly,17000.000000,100 KG,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Lentils,Retail,15/10/2024,Monthly,24000.000000,100 KG,ETB,WFP,,,,Aggregated,,,
Ethiopia,Afar,ZONE2,Abaala,Lentils,Retail,15/09/2025,Monthly,35147.6992,100 KG,ETB,WFP,,,,Forecast,37726.4141,32568.9824,"AR(1),I(1),MA(2)"
Ethiopia,Afar,ZONE2,Abaala,Lentils,Retail,15/10/2025,Monthly,35510.6406,100 KG,ETB,WFP,,,,Forecast,38089.3555,32931.9258,"AR(1),I(1),MA(2)"
Ethiopia,Afar,ZONE2,Abaala,Lentils,Retail,15/11/2025,Monthly,34160.8164,100 KG,ETB,WFP,,,,Forecast,36754.6328,31567.0020,"AR(1),I(1),MA(2)"
Ethiopia,Afar,ZONE2,Abaala,Lentils,Retail,15/12/2025,Monthly,34655.2891,100 KG,ETB,WFP,,,,Forecast,37249.1055,32061.4746,"AR(1),I(1),MA(2)"
Ethiopia,Afar,ZONE2,Abaala,Lentils,Retail,15/01/2026,Monthly,35209.2344,100 KG,ETB,WFP,,,,Forecast,37803.0508,32615.4199,"AR(1),I(1),MA(2)"
Ethiopia,Afar,ZONE2,Abaala,Lentils,Retail,15/02/2026,Monthly,28091.6563,100 KG,ETB,WFP,,,,Forecast,31594.6074,24588.7051,"AR(1),I(1),MA(1)"
Ethiopia,Afar,ZONE2,Abaala,Lentils,Retail,15/03/2026,Monthly,28161.6387,100 KG,ETB,WFP,,,,Forecast,31664.5898,24658.6875,"AR(1),I(1),MA(1)"
Ethiopia,Afar,ZONE2,Abaala,Lentils,Retail,15/04/2026,Monthly,35009.1680,100 KG,ETB,WFP,,,,Forecast,38133.8047,31884.5313,"AR(1),I(1),MA(1)"
Ethiopia,Afar,ZONE2,Abaala,Lentils,Retail,15/05/2026,Monthly,36330.3516,100 KG,ETB,WFP,,,,Forecast,39434.8867,33225.8164,"AR(1),I(1),MA(1)"
Ethiopia,Afar,ZONE2,Abaala,Lentils,Retail,15/06/2026,Monthly,36512.3398,100 KG,ETB,WFP,,,,Forecast,39616.8750,33407.8047,"AR(1),I(1),MA(1)"
Ethiopia,Afar,ZONE2,Abaala,Lentils,Retail,15/07/2026,Monthly,36695.4141,100 KG,ETB,WFP,,,,Forecast,39799.9492,33590.8789,"AR(1),I(1),MA(1)"
